V1,num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,last_reported
,27.0,5.0,22.0,0.0,1693985171.0
,26.0,5.0,21.0,1.0,1693985437.0
,26.0,5.0,21.0,0.0,1693985703.0
,26.0,5.0,21.0,0.0,1693985969.0
,26.0,5.0,21.0,0.0,1693986229.0
,26.0,5.0,21.0,0.0,1693986757.0
,26.0,5.0,21.0,0.0,1693987025.0
,26.0,5.0,21.0,0.0,1693987287.0
,26.0,5.0,21.0,0.0,1693987547.0
,26.0,5.0,21.0,0.0,1693987811.0
,26.0,5.0,21.0,0.0,1693988333.0
,26.0,5.0,21.0,0.0,1693988593.0
,26.0,5.0,21.0,0.0,1693988852.0
,26.0,5.0,21.0,0.0,1693989115.0
,27.0,5.0,22.0,0.0,1693989377.0
,27.0,5.0,22.0,0.0,1693989640.0
,27.0,5.0,22.0,0.0,1693989903.0
,27.0,5.0,22.0,0.0,1693990166.0
,27.0,5.0,22.0,0.0,1693990428.0
,27.0,5.0,22.0,0.0,1693990950.0
,27.0,5.0,22.0,0.0,1693991212.0
,27.0,5.0,22.0,0.0,1693991476.0
,22.0,3.0,19.0,5.0,1693991737.0
,20.0,4.0,16.0,7.0,1693991999.0
,19.0,4.0,15.0,8.0,1693992524.0
,19.0,4.0,15.0,8.0,1693992785.0
,19.0,4.0,15.0,8.0,1693993047.0
,19.0,4.0,15.0,8.0,1693993310.0
,18.0,4.0,14.0,9.0,1693993575.0
,19.0,4.0,15.0,8.0,1693993837.0
,20.0,4.0,16.0,7.0,1693994363.0
,20.0,4.0,16.0,7.0,1693994363.0
,21.0,4.0,17.0,6.0,1693994885.0
,20.0,4.0,16.0,7.0,1693995147.0
,21.0,4.0,17.0,6.0,1693995406.0
,21.0,3.0,18.0,6.0,1693995666.0
,22.0,4.0,18.0,5.0,1693995929.0
,23.0,4.0,19.0,4.0,1693996193.0
,21.0,4.0,17.0,6.0,1693996720.0
,20.0,4.0,16.0,7.0,1693996984.0
,19.0,4.0,15.0,8.0,1693997247.0
