num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,last_reported,V1
2.0,0.0,2.0,25.0,1690917799.0,
2.0,0.0,2.0,25.0,1690918332.0,
2.0,0.0,2.0,25.0,1690918594.0,
2.0,0.0,2.0,25.0,1690918859.0,
1.0,0.0,1.0,26.0,1690919124.0,
1.0,0.0,1.0,26.0,1690919386.0,
1.0,0.0,1.0,26.0,1690919919.0,
1.0,0.0,1.0,26.0,1690920182.0,
0.0,0.0,0.0,27.0,1690920446.0,
0.0,0.0,0.0,27.0,1690920711.0,
0.0,0.0,0.0,27.0,1690920978.0,
0.0,0.0,0.0,27.0,1690921244.0,
0.0,0.0,0.0,27.0,1690921776.0,
0.0,0.0,0.0,27.0,1690921776.0,
0.0,0.0,0.0,27.0,1690922305.0,
0.0,0.0,0.0,27.0,1690922573.0,
0.0,0.0,0.0,27.0,1690922838.0,
0.0,0.0,0.0,27.0,1690923106.0,
0.0,0.0,0.0,27.0,1690923372.0,
0.0,0.0,0.0,27.0,1690923636.0,
0.0,0.0,0.0,27.0,1690924163.0,
0.0,0.0,0.0,27.0,1690924163.0,
0.0,0.0,0.0,27.0,1690924692.0,
0.0,0.0,0.0,27.0,1690924954.0,
0.0,0.0,0.0,27.0,1690925218.0,
0.0,0.0,0.0,27.0,1690925478.0,
0.0,0.0,0.0,27.0,1690925744.0,
0.0,0.0,0.0,27.0,1690926009.0,
0.0,0.0,0.0,27.0,1690926276.0,
6.0,5.0,1.0,21.0,1690926799.0,
6.0,5.0,1.0,21.0,1690927062.0,
6.0,5.0,1.0,21.0,1690927329.0,
6.0,5.0,1.0,21.0,1690927594.0,
6.0,5.0,1.0,21.0,1690927860.0,
6.0,5.0,1.0,21.0,1690928122.0,
6.0,5.0,1.0,21.0,1690928388.0,
6.0,5.0,1.0,21.0,1690928655.0,
6.0,5.0,1.0,21.0,1690929188.0,
6.0,5.0,1.0,21.0,1690929188.0,
6.0,5.0,1.0,21.0,1690929719.0,
6.0,5.0,1.0,21.0,1690929988.0,
6.0,5.0,1.0,21.0,1690930257.0,
6.0,5.0,1.0,21.0,1690930523.0,
6.0,5.0,1.0,21.0,1690930789.0,
6.0,5.0,1.0,21.0,1690931055.0,
6.0,5.0,1.0,21.0,1690931581.0,
6.0,5.0,1.0,21.0,1690931845.0,
6.0,5.0,1.0,21.0,1690932113.0,
6.0,5.0,1.0,21.0,1690932375.0,
6.0,5.0,1.0,21.0,1690932641.0,
6.0,5.0,1.0,21.0,1690932906.0,
6.0,5.0,1.0,21.0,1690933169.0,
6.0,5.0,1.0,21.0,1690933434.0,
6.0,5.0,1.0,21.0,1690933963.0,
6.0,5.0,1.0,21.0,1690934228.0,
6.0,5.0,1.0,21.0,1690934496.0,
6.0,5.0,1.0,21.0,1690934761.0,
6.0,5.0,1.0,21.0,1690935026.0,
6.0,5.0,1.0,21.0,1690935293.0,
6.0,5.0,1.0,21.0,1690935560.0,
6.0,5.0,1.0,21.0,1690936091.0,
6.0,5.0,1.0,21.0,1690936356.0,
6.0,5.0,1.0,21.0,1690936621.0,
6.0,5.0,1.0,21.0,1690936888.0,
6.0,5.0,1.0,21.0,1690937153.0,
6.0,5.0,1.0,21.0,1690937454.0,
6.0,5.0,1.0,21.0,1690937715.0,
7.0,5.0,2.0,20.0,1690937977.0,
7.0,5.0,2.0,20.0,1690938498.0,
7.0,5.0,2.0,20.0,1690938761.0,
7.0,5.0,2.0,20.0,1690939022.0,
7.0,5.0,2.0,20.0,1690939324.0,
7.0,5.0,2.0,20.0,1690939588.0,
7.0,5.0,2.0,20.0,1690939855.0,
7.0,5.0,2.0,20.0,1690940384.0,
7.0,5.0,2.0,20.0,1690940384.0,
7.0,5.0,2.0,20.0,1690940913.0,
7.0,5.0,2.0,20.0,1690941178.0,
7.0,5.0,2.0,20.0,1690941444.0,
7.0,5.0,2.0,20.0,1690941710.0,
7.0,5.0,2.0,20.0,1690941977.0,
7.0,5.0,2.0,20.0,1690942242.0,
7.0,5.0,2.0,20.0,1690942505.0,
7.0,5.0,2.0,20.0,1690942768.0,
7.0,5.0,2.0,20.0,1690943301.0,
7.0,5.0,2.0,20.0,1690943567.0,
7.0,5.0,2.0,20.0,1690943831.0,
7.0,5.0,2.0,20.0,1690944094.0,
7.0,5.0,2.0,20.0,1690944360.0,
7.0,5.0,2.0,20.0,1690944625.0,
7.0,5.0,2.0,20.0,1690945151.0,
7.0,5.0,2.0,20.0,1690945417.0,
7.0,5.0,2.0,20.0,1690945417.0,
7.0,5.0,2.0,20.0,1690945944.0,
7.0,5.0,2.0,20.0,1690946210.0,
7.0,5.0,2.0,20.0,1690946475.0,
